agenturid;agenturname;einrichtungsname;angebotsname;beschreibung;wertigkeit;plz;ort;kontaktierbar;avatar;anzahl_gesuche;anzahl_aktueller_vermittlungen;latitude;longitude;ortsteil;bearbeitet;erstellt;_angebotsId
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Basteln Sie gern?;"Sie sind kreativ, basteln und malen gern und haben Lust Ihre Leidenschaft mit anderen zu teilen? Dann<br />
sind Sie im Treffpunkt Hamburg Ost-Mahlhaus genau richtig. Für unseren offenen Treff am Montag<br />
und/oder Donnerstag suchen wir ehrenamtliche Unterstützer, die gemeinsam mit den<br />
Treffpunktbesuchern kreativ werden. Wir freuen uns auf Sie und ihre kreativen Ideen und Bastelaktivitäten.<br />
Unsere Treffpunkte stehen allen Personen im Stadtteil offen. Sie bieten Menschen mit psychischer Erkrankung und Menschen mit und ohne Behinderung einen Raum der Begegnung mit vielfältigen Angeboten<br />
und Aktivitäten. Zudem beraten wir in sozialen Fragen und rund um die Themen psychische Erkrankung und<br />
Behinderung und unterstützen die Menschen im Alltag und bei Behördengängen.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Wir suchen 1-2 Personen, die kontaktfreudig und offen gegenüber Menschen mit Behinderung und psychischer<br />
Erkrankung sind.<br />
<br />
<strong>Gesuchte Personen:</strong> 2<br />
<br />
<strong>Weitere Informationen:</strong><br />
Wir bieten<br />
• Eine professionelle Ansprechperson, die stets vor Ort ist<br />
• Erstattung von Auslagen nach Absprache<br />
• Haftpflicht– und Unfallversicherung über das BHH Sozialkontor<br />
• Hamburger Nachweis für Bürgerschaftliches Engagement";0;;;0;;0;0;0;0;Hamburg;1451775600;1451775600;70701
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Gassi-Gehen;"Wir suchen noch den einen oder anderen Ehrenamtlichen, der mit den Hunden aus unserem Tierheim unter der Woche und am Samstagnachmittag Gassi-Gehen möchte. Bevor Sie starten, erhalten Sie eine Schulung (hierfür wird eine Kostenbeteiligung von 10 EUR erhoben) zum Umgang mit den Tieren, den Regeln der Stadt Hamburg und dem Ablauf bei uns vor Ort. Das Gelände kann verlassen werden.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Erfahrung im Umgang mit Hunden,<br />
Mitgliedschaft beim Tierschutzverein<br />
<br />
<strong>Weitere Informationen:</strong><br />
Dieses Ehrenamt wird federführend von Susanne David geleitet: hundeschule@hamburger-tierschutzverein.de.<br />
Es kann sein, dass wir Wartelisten für dieses Ehrenamt führen müssen, gerade für Interessenten, die nur samstags hierbei helfen können. Aus Versicherungstechnischen Gründen sollten die Ehrenamtlichen Mitglied des Tierschutzvereins werden. Ein Ehrenamt ist erst ab 18 Jahren möglich";0;;;0;;0;0;0;0;Hamburg;1451775600;1451775600;70690
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Öffentlichkeitsarbeit;"Sie können uns tatkräftig beim Aufbau zu unseren Veranstaltungen oder der ArcheNoah-Aktion (Versand von Spenden-Stofftieren), redegewandt bei Führungen von Schulgruppen durch das Tierheim oder an unseren Info-Ständen helfen. Die Hilfe ist regelmäßig und sporadisch möglich, sogar von Zuhause aus.<br />
<br />
<strong>Voraussetzungen:</strong><br />
ein Ehrenamt ist erst ab 18 Jahren möglich";0;;;0;;0;0;0;0;Hamburg;1451775600;1451775600;70622
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Entdecker für Sonntagsaktionen;"Sie gehen gern spazieren oder lösen gern Kreuzworträtsel, haben Spaß an gemeinsamer Freizeitgestaltung und sind kontaktfreudig? Das Haus Beerboom sucht für regelmäßige Besuche einzelner Bewohner oder für Gruppenaktionen ehrenamtliche Unterstützung.<br />
<br />
Wir freuen uns über:<br />
•	Begleitung und Unterstützung von/bei Aktionen in der Cafeteria <br />
•	Gemeinsam Kreuzworträtsel machen, Spiele spielen, Lesen<br />
Gern können Sie auch Ihre eigenen Ideen einbringen.<br />
<br />
Im Haus Beerboom leben für 35 Menschen mit schweren Körperbehinderungen. Sie erhalten hier umfassende pflegerische, pädagogische und therapeutische Unterstützung, um ihr Leben so selbstbestimmt wie möglich zu gestalten<br />
<br />
<strong>Voraussetzungen:</strong><br />
Wir suchen<br />
<br />
Eine Person, die zuverlässig und offen gegenüber Menschen mit Behinderungen ist. Besonders wichtig ist der Aufbau regelmäßiger Kontakte.<br />
<br />
<strong>Gesuchte Personen:</strong> 1<br />
<br />
<strong>Weitere Informationen:</strong><br />
Wir bieten<br />
<br />
•	Eine professionelle Ansprechperson, die stets vor Ort ist <br />
•	Erstattung von Auslagen nach Absprache <br />
•	Haftpflicht– und Unfallversicherung über das BHH Sozialkontor <br />
•	Hamburger Nachweis für Bürgerschaftliches Engagement";0;;;0;;0;0;0;0;Hamburg;1451775600;1451775600;70650
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Betreuung von (Ex-)Obdachlosen;"Ab in die Koje e.V. ist ein gemeinnütziger Verein in Hamburg mit dem Ziel wohnungslosen Menschen den Übergang in ein festes Wohnverhältnis zu ermöglichen. Da wir selber keine Sozialarbeiter sind, aber eine professionelle Begleitung bei diesem Schritt für sehr wichtig halten, benötigen wir Hilfe.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Eine Ausbildung im sozialen Bereich wäre gut.<br />
<br />
<strong>Gesuchte Personen:</strong> 1-3";0;;;0;;0;0;0;0;Hamburg;1451602800;1451602800;70578
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Begleitung von Menschen mit Behinderung: Stadttreiben;"Unter dem Motto ""Stadtreiben - Freizeit ohne Barrieren"" werden monatlich verschiedene Veranstaltungen für Menschen mit Behinderung angeboten. Zum Beispiel gibt es einen Schreib- oder Malworkshops, einen Frauentreff oder Schwimmbadbesuche. In Kleingruppen geht es auch auf den DOM oder zum Bowlen. Für diese Angebote werden immer wieder Leute gesucht, die die Teilnehmer zu Hause abholen und zu den Aktionen begleiten.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Spaß und Freude im Umgang mit Menschen mit  Hilfebedarf.";0;;;0;;0;0;0;0;Hamburg;1451602800;1451602800;70588
72;Freiwilligen Zentrum Hamburg;Jung und Alt  e.V.;Oma-Hilfsdienst: Kinderbetreuung in Familien;"<p>Im Alltag und erst recht in Stresssituationen brauchen Familien häufig Unterstützung. Für unseren ""Oma-Hilfsdienst"" suchen wir laufend Seniorinnen und Senioren, die ehrenamtlich Kinder in deren Zuhause betreuen. Die Kinder bleiben dabei in ihrem gewohnten Umfeld. Die ehrenamtlichen Einsätze orientieren sich am Bedarf der Eltern. Sie können tagsüber, abends oder auch am Wochenende stattfinden. Oft geht es um zwei bis drei Stunden, in Einzelfällen auch um bis zu sechs Stunden. Die Einsätze erfolgen nach Absprache. Der ""Oma-Hilfsdienst"" ist bereits seit 1979 erfolgreich in und um Hamburg aktiv.</p>

<p>Neben dem eher klassischen Babysitten gibt es auch Kinderbetreuung in aktuen Notsituationen der Eltern. Das übernimmt unsere ""Oma-/Opa-Feuerwehr"". Fühlen Sie sich angesprochen? Dann melden Sie sich gern bei uns.</p>";0;22087;;0;;0;0;53,5633;10,025;Hamburg;1451386645;884249700;21094
72;Freiwilligen Zentrum Hamburg;Initiative Aktivspielplatz Tegelsbarg e.V.;Freizeitbetreuung auf dem Bauspielplatz;"<p>Über Ehrenamtliche Unterstützung von ca. 2 Std. wöchentlich ( Mo - Fr von 14.00 -19.00 ) auf unseren Aktivspielplatz in Poppenbüttel freuen wir uns sehr. Es ermöglicht Kindern unterschiedlichste Angebote anzubieten und in Kleingruppen oder in Einzelangeboten den Kindern so eine Freude zu machen. Als Freizeitangebote bieten wir an:  Hüttenbau, Lagerfeuer und freie Spielen, Fahrad-, Holz- und Metallwerkstatt, Kicker,Billiard und Tischtennis,Töpfern, Werken, Malen und Basteln, Mädchen- und Jungengruppen, gemeinsames Kochen, Brettspiele und noch vieles mehr.</p>

<p>Natürlich sind Sie nie alleine,die pädagogischen Fachkräfte begleiten Sie gern in Ihrem Vorhaben.</p>

<p>Unsere Besucher kommen aus unterschiedlichen Kulturkreisen. Da Jungens in der Mehrzahl anwesend sind, würden wir uns auch über männliche Freiwillige, gerne auch aus anderen Kulturkreisen freuen,auch alle anderen Interessierte sind uns herzlich willkommen.</p>";0;22399;;0;;1;0;53,6581;10,0571;Hamburg;1451386485;947942700;21396
72;Freiwilligen Zentrum Hamburg;Senator- Ernst-Weiss-Haus;Gartenarbeit im Duft- und Tastgarten;"<p>Der Duft- und Tastgarten ist für die sehbehinderten Senioren eine Oase voller Gerüche und Sinneseindrücke. Sie sollten einen ""Grünen Daumen"" mitbringen und Lust an Gartenpflege. Dann können Sie pflanzen, den Garten pflegen und Hecken schneiden.</p>";0;22047;;0;;1;1;53,5943;10,0956;Hamburg;1451384703;1297332900;28504
72;Freiwilligen Zentrum Hamburg;Hans-Fitze-Haus Zentrum zur sozialen Integration suchtgefährdeter Menschen;Deutsch lehren;"<p>In Harburg werden Freiwillige gesucht, die in unserer Einrichtung Menschen aus Osteuropa Deutschunterricht anbieten. Zu uns kommen viele Menschen, die sehr hilfebedürftig sind, die kein Geld und keine Unterkunft haben. Bei uns gibt es für sie Beratung, Begleitung, Essen und medizinische Hilfe. Das alles kann unsere Klienten aber nicht zum Erfolg bringen, wenn sie keine Möglichkeit haben, Deutsch zu lernen. Daher möchten wir diesen Menschen, die Möglichkeit bieten, Deutsch bei uns zu erlernen.</p>

<p>Da es für unsere Klienten keine Deutschkursfinanzierung gibt, können wir Freiwillige nur auf ehrenamtlicher Basis einladen. Wir werden die minimal erforderlichen möglichen Kosten für Schreibwaren und Lehrmaterialien tragen und während der Unterrichtsstunden auf Ordnung achten.</p>";0;21073;;0;;0;0;53,4618;9,98499;Hamburg;1451558980;1427217420;69309
72;Freiwilligen Zentrum Hamburg;Amnesty for Women Städtegruppe Hamburg e.V.;Von Büroarbeiten bis zu Übersetzungen;<p>Für Büro- und Sekreteriatsaufgaben suchen wir Helferinnen für unseren Sitz in Altona. Zeitaufwand nach Absprache, z.B. ein Tag die Woche. Weitere Einsatzmöglichkeiten: Verwaltung, Pflege der Bibliothek, Recherche und Redaktion der Vereinszeitung. Wir freuen uns auch über Fremdsprachen-Kenntnisse - z.B. für Übersetzungen (Russisch, Polnisch, Spanisch, Thai, Portugiesisch, etc.).</p>;0;22767;;0;;0;1;53,5509;9,93799;Hamburg;1451561993;883659600;21354
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Frühstücks-Helfer gesucht!;"Sie frühstücken gern in Gesellschaft und habe Freude an den Vorbereitungen für einen Frühstückstreff.<br />
Für unser freitags Angebot „Frühstücken für alle“ suchen wir noch eine helfende Hand. In gemütlicher<br />
Atmosphäre treffen sich Klienten aus dem Treffpunkt Hamburg-Ost Mahlhaus sowie<br />
sowie Menschen aus der Umgebung.<br />
<br />
Unsere Treffpunkte stehen allen Personen im Stadtteil offen. Sie bieten Menschen mit psychischer<br />
Erkrankung und Menschen mit und ohne Behinderung einen Raum der Begegnung mit vielfältigen Angeboten<br />
und Aktivitäten.Zudem beraten wir in sozialen Fragen und rund um die Themen psychische Erkrankung und<br />
Behinderung und unterstützen die Menschen im Alltag und bei Behördengängen<br />
<br />
<strong>Voraussetzungen:</strong><br />
Wir suchen<br />
Eine Person, die Freude an hauswirtschaftlichen Tätigkeiten hat, offen ist für Menschen mit Behinderung<br />
oder psychischer Erkrankung und Lust hat gemeinsam einen netten Vormittag zu verbringen.<br />
Wir freuen uns über ihre helfende Hand beim:<br />
• Frühstückstisch vorbereiten • Aufräumen und Abwaschen<br />
• Begleiten der Teilnehmer und zum Klönschnack halten<br />
<br />
<strong>Gesuchte Personen:</strong> 1<br />
<br />
<strong>Weitere Informationen:</strong><br />
Wir bieten<br />
• Eine professionelle Ansprechperson, die stets vor Ort ist<br />
• Erstattung von Auslagen nach Absprache<br />
• Haftpflicht– und Unfallversicherung über das BHH Sozialkontor<br />
• Hamburger Nachweis für Bürgerschaftliches Engagement";0;;;0;;0;0;0;0;Hamburg;1451602800;1451602800;70651
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Koordination von Sport-Angeboten;"Um unser Sport-Angebot für Geflüchtete kontinuierlich ausbauen zu können, braucht unser Koordinator noch eine Kollegin oder einen Kollegen, welche_r ihn bei der Organisation des Projektes unterstützt. Diese ehrenamtliche Tätigkeit nimmt ungefähr zwischen fünf und zehn Stunden pro Woche in Anspruch.<br />
<br />
Zu den Aufgaben gehören:<br />
- die Einarbeitung von neuen Ehrenamtlichen;<br />
- Organisation und Planung von Aktionen mit Geflüchteten<br />
- Begleitung und Durchführung eigener Sport-Angebote<br />
- Pflege von Kooperationen mit anderen Vereinen<br />
- Informationsaustausch mit den anderen Bereichen von Die Insel Hilft<br />
<br />
<strong>Voraussetzungen:</strong><br />
Keine Vorkenntnisse notwendig.<br />
<br />
<strong>Gesuchte Personen:</strong> 1<br />
<br />
<strong>Weitere Informationen:</strong><br />
Wir bieten ein freundliches Team, Versicherungsschutz und Auslagenerstattung.";0;21109;;0;;0;0;53,55;10;Hamburg;1451602800;1451602800;70661
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Ausbildungsbrücke - Nachhilfelehrer/innen 1:1;"Darum geht´s :: <br />
Nachhilfe in den Fächern Mathematik<br />
oder Deutsch oder Englisch. <br />
Es gilt die Jugendlichen abzuholen, eine<br />
Partnerschaft auf Augenhöhe zu pflegen, zum<br />
Lernen zu ermutigen, Grenzen zu setzen und<br />
sich über Erreichtes gemeinsame zu freuen.<br />
Die Teilnahme der Jugendlichen ist freiwillig.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Was sie mitbringen sollten: - Fachspezifisches Wissen auf Haupt- oder  Realschulniveau - Freude am Kontakt mit Jugendlichen - Neugierde auf die Ideen der Jugendlichen - Zuhören können - Geduld und Konsequenz in der Begleitung - erweitertes polizeiliches Führungszeugnis<br />
<br />
<strong>Gesuchte Personen:</strong> 15";0;22145;;0;;0;0;53,6167;10,25;Hamburg;1451775600;1451775600;70601
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Jungtier-Aufzucht in der Wildtierstation;"Wir suchen Ehrenamtliche, die uns in der Aufzucht mutterloser Jungtiere unterstützen. Wir arbeiten Sie ein, sodass die gebrachten Schützlinge in fachkundige Hände gelangen. Es handelt sich dabei um Milchtrinker wie Hase, Kaninchen und Eichhörnchen, sowie auch um Jungvögel. <br />
<br />
In den verschiedenen Jahreszeiten gibt es Unterschiedliches zu tun:<br />
<br />
Frühjahr und Sommer<br />
Hier muss der richtige Umgang mit Flasche (Spritze) und Pinzette geübt werden, aber auch die Massage der Milchtrinker nach dem Essen und die richtige Säuberung. Hilfe wird vor allem abends und am Wochenende im Tierheim dringend gebraucht.<br />
Wer erfahren genug ist und viel Zeit, Platz und die Kraft hat, die Kleinen nicht zu verhätscheln, damit eine Fehlprägung verhindert wird und eine gute Auswilderung stattfinden kann, kann auch Pflegetiere mit nach Hause nehmen. <br />
<br />
Herbst und Winter<br />
Jeden Herbst werden spät geborene Igel zu uns ins Tierheim gebracht, einige voreilig, andere als letzte Rettung. Im Jahr nehmen wir ca. 600 Igel auf. Viele von denen müssen bei uns überwintern. Schnell kriegen wir Platz- und Zeitprobleme dadurch. Wer Erfahrung in der Igel-Überwinterung hat, also weiß, wie wichtig das richtige Futter (keine Milch, keine Eier bspw.) und Hygiene sind und den nötigen, nicht zu warmen oder feuchten Platz hat, darf sich gerne bei uns melden. Idealerweise sorgen Sie auch für die Auswilderung. Wer Erfahrungen sammeln möchte, kann dies tagsüber auf unserer Igel-Station als ehrenamtliche Tierpflege-Hilfe tun.<br />
Ganzjährig gelangen Jungtauben zu uns. Gerade Stadttauben brüten bis zu sieben Mal im Jahr. An U-Bahnsteigen und anderen Orten ist es ganzjährig warm und Futter lässt sich auch immer finden. Daher ist es auch nicht verwunderlich, dass Tauben zu den häufigsten Tierheiminsassen gehören: Ca. 800 werden jährlich zu uns gebracht. Wir benötigen Hilfe sowohl bei der Fütterung vor Ort als auch Pflegestellen bei erfahrenen Helfern zuhause.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Sie sind gegen Tetanus geimpft und haben keinen Kontakt zu Säuglingen und immungeschwächten Menschen. Ein Ehrenamt ist erst ab 18 Jahren möglich.<br />
<br />
<strong>Weitere Informationen:</strong><br />
abends, am Wochenende auch nachmittags<br />
ggf. von Zuhause aus<br />
<br />
Die Einarbeitung für den Umgang mit den Tieren findet in Gruppen statt. Einmal je Quartal gibt es eine Einführungsschulung, sodass es zu Wartezeiten kommen kann, bis Sie starten können. Bitte bedenken Sie auch, dass es nicht nur niedlich ist, Jungtiere zu versorgen. Auch Tod und Leid eines Jungtieres gehören zum Alltag - ebenso wie die Fütterung mit Insekten (z.B. Mehlwürmern).";0;;;0;;0;0;0;0;Hamburg;1451775600;1451775600;70580
72;Freiwilligen Zentrum Hamburg;Seniorentreff St. Pauli;Spielleitung für Boule im Seniorentreff St. Pauli;<p>Sie haben Lust möglichst im Freien ( Gartengelände ) das Boulespiel mit unseren Besuchern anzuleiten und zu spielen. Dafür treffen Sie sich regelmäßig nach Absprache, gerne vom Frühling bis zum Herbst, mit unseren Senioren und gestalten damit einen geselligen Vormittag oder Nachmittag am Mo-Fr.</p>;0;20359;;0;;1;0;53,5494;9,95898;Hamburg;1455183975;1359020760;48812
72;Freiwilligen Zentrum Hamburg;Seniorentreff St. Pauli;Mitgestaltung und Unterstützung beim Filme vorführen in St.Pauli;<p>In unserem Seniorentreffpunkt bieten wir über Dokumentationsfilme mit anschließenden Gesprächskreis, oder themenbezogenen Ausflügen/ Ausstellungen u.ä.Bildungsangebote an. 1x wöchentlich/ monatlich Mo-Fr zwischen 14-18h wäre eine Filmvorführung möglich. Für alle anfallenden vorbereitenden und nachbereitenden Aufgaben freuen wir uns auf Unterstützung. Wenn Sie Lust haben einen Teilbereich oder aber auch alle Arbeitsbereiche in Zusammenarbeit mit der Einrichtungsleiterin zu planen und zu gestalten, dann melden Sie sich bei uns.</p>;0;20359;;0;;2;0;53,5494;9,95898;Hamburg;1455183463;1300354620;29218
72;Freiwilligen Zentrum Hamburg;Stricken für Frühchen;Stricken für Frühchen;"<p>Bei den regelmäßigen Treffen der Initiative ""Stricken für Frühchen"", werden z.B. Mützen und Schühchen genäht und gestrickt und nach Fertigstellung an sechs Hamburger Krankenhäuser verteilt. Die kleinen Mützchen und Schühchen dürfen auch von den Müttern mit nach Hause genommen werden. Die fertigen Teile werden 3x jährlich ausgeliefert.</p>

<p>Treffpunkt: Jeden 1. Mittwoch ab 14 Uhr im Café der Filiale Karstadt Harburg - direkt an der S-Bahnstation Harburg Rathaus - zum Klönen, Kaffee trinken und zum Erfahrungsaustausch.</p>

<p>Die Teilnehmerinnen bringen dann die fertig gestrickten bzw. genähten Sachen mit und die Leiterin die zwischenzeitlich gespendete Wolle, sowie Strick- und Nähanleitungen. Zudem gibt es auch ein Album mit Bildern der Babys, welche die angefertigten Handarbeiten tragen, damit die Frauen sehen, dass die Sachen auch Abnehmer finden.</p>

<p>Wollspenden können gern bei der Leiterin zu Hause -Trifthof 28, 21075 Hamburg- abgegeben werden. Als Dank gibt es sogar eine winzige Socke als Schlüsselanhänger.</p>";0;21075;;0;;0;0;53,4594;9,942;Hamburg;1454405789;1215354240;21296
72;Freiwilligen Zentrum Hamburg;Seniorentreff St. Pauli;Leitung von Gruppenvorträge zu Krankheitsbilder im Seniorentreff St.Pauli;<p>Wir suchen einen Arzt oder eine Ärztin, die Krankheiten mit sehr einfachen Worten erklären kann, damit die Menschen, die bereits erkrankt sind, erfahren, worauf sie zu achten haben und warum sie Medikamente einnehmen müssen, z.B. bei Diabetes, Krebs, Gefäß- und Schilddrüsenerkrankungen, Blut-Kreislauferkrankungen, psychischen Problemen und Mundhygiene im Alter.                                                                                                        Wir würden uns freuen, wenn Sie einmalig ein Thema oder mehrere Themen, in für Sie passenden Zeitabständen, unseren Besuchern als Bildungsangebot ermöglichen könnten.</p>;0;20359;;0;;1;0;53,5489;9,95936;Hamburg;1455184489;1292837520;27804
72;Freiwilligen Zentrum Hamburg;Seniorentreff St. Pauli;Unterstützung im Küchen - Cafebereich im Seniorentreff St.Pauli;<p>Wir freuen uns auf Ihre Unterstützung während unserer Angebotszeit  Mo-Fr von 13-18h. In dieser Zeit steht unser Treffpunkt zum Klönschnack, Spielen u.a. geselligen Angeboten unseren Besuchern zur Verfügung. Gedeckte Tische und Tee/Kaffee laden zum gemütlichen Miteinander ein. Für diese Aufgabe und weitere Tätigkeiten in der Küche suchen wir Sie,wobei Sie die Zeit der Mitarbeit bestimmen können. Für die Geselligkeit mit unseren Senioren ist selbstverständlich auch Zeit vorhanden.</p>;0;20359;;0;;0;0;53,5489;9,95936;Hamburg;1455184583;0;27925
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Kreative (Grafiken, Comics);"Für die Gestaltung von Grafiken und Comics suchen wir Kreative, die Lust haben, sich sprachlich und gestalterisch auszutoben. Diese sollen überwiegend für die Social Media Kanäle Facebook und Instagram verwendet werden. Aber können auch als Schmankerl Berichte und Texte zieren.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Kreativität, sehr gute Kenntnisse in Rechtschreibung und Grammatik, Führungszeugnis<br />
<br />
<strong>Gesuchte Personen:</strong> 2<br />
<br />
<strong>Weitere Informationen:</strong><br />
-	Es besteht Versicherungsschutz<br />
-	Wir nehmen an internationalen Freiwilligen-Treffen teil<br />
-	Es gibt eine Einarbeitung<br />
-	Wir bieten Fortbildungen<br />
-	Wir haben regelmäßige Freiwilligen-Treffen<br />
-	Eigene Ideen können verwirklicht werden";0;20535;;0;;0;0;53,55;10;Hamburg;1456095600;1456095600;70674
72;Freiwilligen Zentrum Hamburg;Kulturleben Hamburg e.V.;Öffentlichkeitsarbeit;"<p>Sie haben Spaß und Knowhow im Bereich Print- und Online-Grafik, -Gestaltung und Bildbearbeitung. Dann kommen Sie in unser Team Öffentlichkeitsarbeit und arbeiten Sie mit an unserer Web­site, dem Newsletter, dem Jahresbericht sowie an anderen Veröffentlichungen.</p>

<p> </p>";0;20359;;0;;0;0;53,5512;9,96418;Hamburg;1455643370;1455642120;93153
72;Freiwilligen Zentrum Hamburg;Einbürgerung Projekt Ich bin Hamburger;Einbürgerungshilfe Ich bin Hamburger;"<p><span style=""text-decoration:underline;"">Definition des Projekts</span>: Sie beraten und unterstützen Interessenten an einer deutschen Staatsangehörigkeit und holen gleichzeitig die aktuellsten Informationen zum Ausländer-, Aufenthalts- und Einbürgerungsrecht ein. Diese geben wir an die Interessierten weiter.</p>

<p>Ziel des Projekts ist es, dabei zu helfen, den Prozess der Einbürgerung zu vereinfachen und zu unterstützen. Hilfe bei: Problemen mit Behörden, Antragsstellung unterstützen, Deutschkenntnissen</p>

<p class=""rot""><span style=""text-decoration:underline;"">Projektaktivitäten</span>:</p>

<p>Die MitstreiterInnen und Lotsen aus verschiedenen Communities (dem Balkan, Westafrika, Russland, Südamerika, Vorderer Orient etc.) gehen direkt in diese, um unmittelbar Kontakt zu den Einbürgerungsinteressierten aufzunehmen. Sie sind vertraut mit den jeweiligen Nationalitäten, deren Sprachen, Kulturen und dem Thema „Einbürgerung“. So können alle Einbürgerungswillige sicher sein, dass sie gut verstanden und beraten werden. Natürlich können uns alle Interessierten auch gern in den Räumlichkeiten der TGH besuchen und sich beraten lassen. Sie nehmen regelmäßig an Schulungen zum Thema „Ausländer-, Aufenthalts- und Einbürgerungsrecht“ teil, um stets auf dem aktuellsten Stand zu sein. Sie suchen die Konsulate auf, um Fragen bzgl. der Ausbürgerung und dem Wehrdienst zu besprechen und diskutieren mit den zuständigen Behörden Generelles und Einzelfälle, um zu Lösungen zu kommen.</p>";0;22767;;0;;35;0;53,5568;9,94829;Hamburg;1452853100;1297247400;28485
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Mentoren (m/w);"Als Mentor treffen Sie sich zwei- bis viermal im Monat (ca. 8 – 10 Stunden) mit ihrem Mentee und verbringen Zeit miteinander. Zusammen mit ihrem Schützling machen Sie Erfahrungen, die beide Seiten bereichern: etwa indem sie Hamburg noch besser kennenlernen oder in Kontakt kommen mit anderen Familien, Kulturen, Sprachen, Glaubensrichtungen und Gewohnheiten. Durch Ihren Einsatz stärken sie das Selbstvertrauen des Kindes und verbessern seine Kommunikationsfähigkeit und Bildungschancen. Das haben Studien nachgewiesen.<br />
<br />
<strong>Voraussetzungen:</strong><br />
* genügend Zeit und Lust für ein ehrenamtliches Engagement für mindestens ein Jahr<br />
* Interesse und Freude am Umgang mit Kindern <br />
 * Alter ab 18 Jahren<br />
 * die Bereitschaft, sich auf die Bedürfnisse und Eigenarten Ihres Mentees und seiner Familie einzustellen <br />
* eine gute „Prise“ Lebenserfahrung, hohe Verbindlichkeit, Selbstsicherheit, Empathie- und Konfliktfähigkeit sowie Spaß daran, die Initiative zu ergreifen";0;20146;;0;;0;0;53,55;10;Hamburg;1452812400;1452812400;70570
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Bearbeitung einer Access-Datenbank;"Aktualisierung unserer Access-Datenbank,<br />
prüfen der vorhandenen Daten und Eingabe neuer Kontakte<br />
<br />
<strong>Voraussetzungen:</strong><br />
gute Kenntnisse über Access";0;;;0;;0;0;0;0;Hamburg;1451775600;1451775600;70550
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Garten und handwerkliche Tätigkeiten im Haus;"Rasenmähen (auf einem Aufsitzmäher), Garten und übirges Gelände sauber halten, Kleinreparaturen von Mobiliar und Geräten<br />
<br />
<strong>Voraussetzungen:</strong><br />
körperliche Belastbarkeit, Spaß an der Arbeit in der Natur, handwerkliche Fähigkeiten wären gut, sind jedoch nicht zwingend erforderlich<br />
<br />
<strong>Gesuchte Personen:</strong> 3-4<br />
<br />
<strong>Weitere Informationen:</strong><br />
Versicherungsschutz, Verpflegung ab einem Einsatz von 4 Stunden, Einarbeitung, Begleitung, Austausch";0;22397;;0;;0;0;53,55;10;Hamburg;1451775600;1451775600;70571
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Ausbildungsbrücke - Paten und Patinnen für Förder- und Stadtteilschüler 1:1 gesucht;"Darum geht´s :: Schüler (Haupt- u. Realschüler) bei der Berufsfindung unterstützen, damit sie direktvon der Schule in eine Ausbildung gelangen.<br />
Erwachsene mit Berufs- und Lebenserfahrung begleiten, ermutigen und stärken Schüler, coachen beim Finden von Praktika, Berufswunsch, Ausbildungsplatz (Hilfe zur Selbsthilfe).<br />
Die Patenschaften beginnen in der Regel zwei bis drei Jahre vor Schulende.<br />
Die Teilnahme der Jugendlichen ist freiwillig.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Was sie mitbringen sollten: - Freude am Kontakt mit Jugendlichen - Neugierig auf die Ideen der Jugendlichen - Zuhören können - Geduld und Konsequenz in der Begleitung - Bereitschaft für regelmäßigen kollegialen Austausch - erweitertes polizeiliches Führungszeugnis";0;22145;;0;;0;0;53,6167;10,25;Hamburg;1451775600;1451775600;70573
